reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2023-11-18,0,wk flu hosp rate change,2023-11-18,01,pmf,large_increase,0.021109562764140888
2023-11-18,1,wk flu hosp rate change,2023-11-25,01,pmf,large_increase,0.009782497227898257
2023-11-18,2,wk flu hosp rate change,2023-12-02,01,pmf,large_increase,0.004718764238720974
2023-11-18,3,wk flu hosp rate change,2023-12-09,01,pmf,large_increase,0.002765947345825137
2023-11-18,0,wk flu hosp rate change,2023-11-18,02,pmf,large_increase,0.453313416271686
2023-11-18,1,wk flu hosp rate change,2023-11-25,02,pmf,large_increase,0.43733193332522313
2023-11-18,2,wk flu hosp rate change,2023-12-02,02,pmf,large_increase,0.4247029353522106
2023-11-18,3,wk flu hosp rate change,2023-12-09,02,pmf,large_increase,0.4126566748261644
2023-11-18,0,wk flu hosp rate change,2023-11-18,04,pmf,large_increase,0.082851960778214
2023-11-18,1,wk flu hosp rate change,2023-11-25,04,pmf,large_increase,0.05965522908699805
2023-11-18,2,wk flu hosp rate change,2023-12-02,04,pmf,large_increase,0.04588183888840747
2023-11-18,3,wk flu hosp rate change,2023-12-09,04,pmf,large_increase,0.036802715633812655
2023-11-18,0,wk flu hosp rate change,2023-11-18,05,pmf,large_increase,3.057712233726084e-4
2023-11-18,1,wk flu hosp rate change,2023-11-25,05,pmf,large_increase,1.4526800253500394e-4
2023-11-18,2,wk flu hosp rate change,2023-12-02,05,pmf,large_increase,4.9935900011122136e-5
2023-11-18,3,wk flu hosp rate change,2023-12-09,05,pmf,large_increase,6.287459452081201e-6
2023-11-18,0,wk flu hosp rate change,2023-11-18,06,pmf,large_increase,7.303890825482995e-11
2023-11-18,1,wk flu hosp rate change,2023-11-25,06,pmf,large_increase,2.2971624602519114e-12
2023-11-18,2,wk flu hosp rate change,2023-12-02,06,pmf,large_increase,5.240252676230739e-13
2023-11-18,3,wk flu hosp rate change,2023-12-09,06,pmf,large_increase,7.582823258189819e-14
2023-11-18,0,wk flu hosp rate change,2023-11-18,08,pmf,large_increase,8.167273363859362e-4
2023-11-18,1,wk flu hosp rate change,2023-11-25,08,pmf,large_increase,1.5294440026958345e-4
2023-11-18,2,wk flu hosp rate change,2023-12-02,08,pmf,large_increase,5.594367481387419e-5
2023-11-18,3,wk flu hosp rate change,2023-12-09,08,pmf,large_increase,2.149889392633053e-5
2023-11-18,0,wk flu hosp rate change,2023-11-18,09,pmf,large_increase,2.005532005423527e-4
2023-11-18,1,wk flu hosp rate change,2023-11-25,09,pmf,large_increase,1.633882594864744e-5
2023-11-18,2,wk flu hosp rate change,2023-12-02,09,pmf,large_increase,4.804740135755381e-6
2023-11-18,3,wk flu hosp rate change,2023-12-09,09,pmf,large_increase,1.4944927017035425e-6
2023-11-18,0,wk flu hosp rate change,2023-11-18,10,pmf,large_increase,3.3890977748640694e-4
2023-11-18,1,wk flu hosp rate change,2023-11-25,10,pmf,large_increase,1.386707536721321e-5
2023-11-18,2,wk flu hosp rate change,2023-12-02,10,pmf,large_increase,5.6568961241953986e-6
2023-11-18,3,wk flu hosp rate change,2023-12-09,10,pmf,large_increase,2.3070756016707605e-7
2023-11-18,0,wk flu hosp rate change,2023-11-18,11,pmf,large_increase,7.06590528753992e-7
2023-11-18,1,wk flu hosp rate change,2023-11-25,11,pmf,large_increase,4.440892098500626e-16
2023-11-18,2,wk flu hosp rate change,2023-12-02,11,pmf,large_increase,0
2023-11-18,3,wk flu hosp rate change,2023-12-09,11,pmf,large_increase,0
2023-11-18,0,wk flu hosp rate change,2023-11-18,12,pmf,large_increase,0.006499311291408905
2023-11-18,1,wk flu hosp rate change,2023-11-25,12,pmf,large_increase,0.0027016293237758227
2023-11-18,2,wk flu hosp rate change,2023-12-02,12,pmf,large_increase,0.0012064981811505948
2023-11-18,3,wk flu hosp rate change,2023-12-09,12,pmf,large_increase,4.7626885912743777e-4
2023-11-18,0,wk flu hosp rate change,2023-11-18,13,pmf,large_increase,0.01189355979519624
2023-11-18,1,wk flu hosp rate change,2023-11-25,13,pmf,large_increase,0.005389505839301312
2023-11-18,2,wk flu hosp rate change,2023-12-02,13,pmf,large_increase,0.002785016912971394
2023-11-18,3,wk flu hosp rate change,2023-12-09,13,pmf,large_increase,0.00176601730922743
2023-11-18,0,wk flu hosp rate change,2023-11-18,15,pmf,large_increase,0.09047744636406041
2023-11-18,1,wk flu hosp rate change,2023-11-25,15,pmf,large_increase,0.06511456098314672
2023-11-18,2,wk flu hosp rate change,2023-12-02,15,pmf,large_increase,0.043062593641906344
2023-11-18,3,wk flu hosp rate change,2023-12-09,15,pmf,large_increase,0.030502249931936287
2023-11-18,0,wk flu hosp rate change,2023-11-18,16,pmf,large_increase,0.0017471163029999515
2023-11-18,1,wk flu hosp rate change,2023-11-25,16,pmf,large_increase,6.236340361546189e-4
2023-11-18,2,wk flu hosp rate change,2023-12-02,16,pmf,large_increase,1.4154500001073433e-4
2023-11-18,3,wk flu hosp rate change,2023-12-09,16,pmf,large_increase,2.2449375843502928e-5
2023-11-18,0,wk flu hosp rate change,2023-11-18,17,pmf,large_increase,0
2023-11-18,1,wk flu hosp rate change,2023-11-25,17,pmf,large_increase,0
2023-11-18,2,wk flu hosp rate change,2023-12-02,17,pmf,large_increase,0
2023-11-18,3,wk flu hosp rate change,2023-12-09,17,pmf,large_increase,0
2023-11-18,0,wk flu hosp rate change,2023-11-18,18,pmf,large_increase,3.129397772938525e-5
2023-11-18,1,wk flu hosp rate change,2023-11-25,18,pmf,large_increase,4.043313209467492e-6
2023-11-18,2,wk flu hosp rate change,2023-12-02,18,pmf,large_increase,3.360434427390757e-7
2023-11-18,3,wk flu hosp rate change,2023-12-09,18,pmf,large_increase,2.8468826740457587e-8
2023-11-18,0,wk flu hosp rate change,2023-11-18,19,pmf,large_increase,2.4017442423995838e-4
2023-11-18,1,wk flu hosp rate change,2023-11-25,19,pmf,large_increase,4.917619171451726e-5
2023-11-18,2,wk flu hosp rate change,2023-12-02,19,pmf,large_increase,2.2234802530940456e-5
2023-11-18,3,wk flu hosp rate change,2023-12-09,19,pmf,large_increase,4.6869168914831505e-6
2023-11-18,0,wk flu hosp rate change,2023-11-18,20,pmf,large_increase,7.614555183677041e-5
2023-11-18,1,wk flu hosp rate change,2023-11-25,20,pmf,large_increase,2.652676876935267e-5
2023-11-18,2,wk flu hosp rate change,2023-12-02,20,pmf,large_increase,1.4804675708690596e-5
2023-11-18,3,wk flu hosp rate change,2023-12-09,20,pmf,large_increase,6.495127492400776e-6
2023-11-18,0,wk flu hosp rate change,2023-11-18,21,pmf,large_increase,3.8014716517509317e-4
2023-11-18,1,wk flu hosp rate change,2023-11-25,21,pmf,large_increase,8.039855301589238e-5
2023-11-18,2,wk flu hosp rate change,2023-12-02,21,pmf,large_increase,1.2708484404599929e-5
2023-11-18,3,wk flu hosp rate change,2023-12-09,21,pmf,large_increase,2.882774381429698e-6
2023-11-18,0,wk flu hosp rate change,2023-11-18,22,pmf,large_increase,0.045665141728884695
2023-11-18,1,wk flu hosp rate change,2023-11-25,22,pmf,large_increase,0.02943330378156106
2023-11-18,2,wk flu hosp rate change,2023-12-02,22,pmf,large_increase,0.017903681717626352
2023-11-18,3,wk flu hosp rate change,2023-12-09,22,pmf,large_increase,0.0120250779905271
2023-11-18,0,wk flu hosp rate change,2023-11-18,23,pmf,large_increase,0.0035749722293911823
2023-11-18,1,wk flu hosp rate change,2023-11-25,23,pmf,large_increase,0.0013541288559087983
2023-11-18,2,wk flu hosp rate change,2023-12-02,23,pmf,large_increase,6.20332694742376e-4
2023-11-18,3,wk flu hosp rate change,2023-12-09,23,pmf,large_increase,4.375367655888862e-4
2023-11-18,0,wk flu hosp rate change,2023-11-18,24,pmf,large_increase,4.70343208824886e-9
2023-11-18,1,wk flu hosp rate change,2023-11-25,24,pmf,large_increase,3.324318598174614e-11
2023-11-18,2,wk flu hosp rate change,2023-12-02,24,pmf,large_increase,4.2099657093785936e-13
2023-11-18,3,wk flu hosp rate change,2023-12-09,24,pmf,large_increase,1.965094753586527e-14
2023-11-18,0,wk flu hosp rate change,2023-11-18,25,pmf,large_increase,3.377360412679664e-4
2023-11-18,1,wk flu hosp rate change,2023-11-25,25,pmf,large_increase,8.698174227272926e-5
2023-11-18,2,wk flu hosp rate change,2023-12-02,25,pmf,large_increase,2.2386617640757223e-5
2023-11-18,3,wk flu hosp rate change,2023-12-09,25,pmf,large_increase,7.665571270187854e-6
2023-11-18,0,wk flu hosp rate change,2023-11-18,26,pmf,large_increase,4.266142121410743e-4
2023-11-18,1,wk flu hosp rate change,2023-11-25,26,pmf,large_increase,9.978666666121683e-5
2023-11-18,2,wk flu hosp rate change,2023-12-02,26,pmf,large_increase,1.8993088179874995e-5
2023-11-18,3,wk flu hosp rate change,2023-12-09,26,pmf,large_increase,2.286642252435911e-6
2023-11-18,0,wk flu hosp rate change,2023-11-18,27,pmf,large_increase,1.3346435068228857e-11
