reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-11-25,wk inc flu hosp,0,2023-11-25,01,quantile,0.01,37.39685764749092
2023-11-25,wk inc flu hosp,1,2023-12-02,01,quantile,0.01,34.55009591992649
2023-11-25,wk inc flu hosp,2,2023-12-09,01,quantile,0.01,59.18910954654515
2023-11-25,wk inc flu hosp,3,2023-12-16,01,quantile,0.01,59.68155056157675
2023-11-25,wk inc flu hosp,0,2023-11-25,02,quantile,0.01,0.3239145225288909
2023-11-25,wk inc flu hosp,1,2023-12-02,02,quantile,0.01,1.6234215158531267
2023-11-25,wk inc flu hosp,2,2023-12-09,02,quantile,0.01,1.773946254773808
2023-11-25,wk inc flu hosp,3,2023-12-16,02,quantile,0.01,2.0049448270195693
2023-11-25,wk inc flu hosp,0,2023-11-25,04,quantile,0.01,119.07142165692332
2023-11-25,wk inc flu hosp,1,2023-12-02,04,quantile,0.01,164.89390556253574
2023-11-25,wk inc flu hosp,2,2023-12-09,04,quantile,0.01,247.0967741848755
2023-11-25,wk inc flu hosp,3,2023-12-16,04,quantile,0.01,255.5765638551047
2023-11-25,wk inc flu hosp,0,2023-11-25,05,quantile,0.01,7.137394374116804
2023-11-25,wk inc flu hosp,1,2023-12-02,05,quantile,0.01,11.025305523006683
2023-11-25,wk inc flu hosp,2,2023-12-09,05,quantile,0.01,7.547500242225392
2023-11-25,wk inc flu hosp,3,2023-12-16,05,quantile,0.01,11.087301292395265
2023-11-25,wk inc flu hosp,0,2023-11-25,06,quantile,0.01,229.6725029339887
2023-11-25,wk inc flu hosp,1,2023-12-02,06,quantile,0.01,320.96263715480814
2023-11-25,wk inc flu hosp,2,2023-12-09,06,quantile,0.01,429.0732251242422
2023-11-25,wk inc flu hosp,3,2023-12-16,06,quantile,0.01,381.5175284879123
2023-11-25,wk inc flu hosp,0,2023-11-25,08,quantile,0.01,6.023420638964435
2023-11-25,wk inc flu hosp,1,2023-12-02,08,quantile,0.01,10.272095385313266
2023-11-25,wk inc flu hosp,2,2023-12-09,08,quantile,0.01,26.246855870505506
2023-11-25,wk inc flu hosp,3,2023-12-16,08,quantile,0.01,38.64765198693267
2023-11-25,wk inc flu hosp,0,2023-11-25,09,quantile,0.01,0.07969225400157892
2023-11-25,wk inc flu hosp,1,2023-12-02,09,quantile,0.01,0.9221963430344876
2023-11-25,wk inc flu hosp,2,2023-12-09,09,quantile,0.01,2.820658066313917
2023-11-25,wk inc flu hosp,3,2023-12-16,09,quantile,0.01,6.499647041587304
2023-11-25,wk inc flu hosp,0,2023-11-25,10,quantile,0.01,0.00011135220141308692
2023-11-25,wk inc flu hosp,1,2023-12-02,10,quantile,0.01,0.05193693256844312
2023-11-25,wk inc flu hosp,2,2023-12-09,10,quantile,0.01,0.3182046000478133
2023-11-25,wk inc flu hosp,3,2023-12-16,10,quantile,0.01,0.7392588376187825
2023-11-25,wk inc flu hosp,0,2023-11-25,11,quantile,0.01,0.0024960334963239406
2023-11-25,wk inc flu hosp,1,2023-12-02,11,quantile,0.01,0.02077652878011393
2023-11-25,wk inc flu hosp,2,2023-12-09,11,quantile,0.01,0.15445337698777264
2023-11-25,wk inc flu hosp,3,2023-12-16,11,quantile,0.01,0.8117117530018707
2023-11-25,wk inc flu hosp,0,2023-11-25,12,quantile,0.01,436.637532693119
