reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-01-18,wk inc flu hosp,-1,2025-01-11,01,quantile,0.01,162.9079316711426
2025-01-18,wk inc flu hosp,0,2025-01-18,01,quantile,0.01,189.75693313598632
2025-01-18,wk inc flu hosp,1,2025-01-25,01,quantile,0.01,194.79190536499024
2025-01-18,wk inc flu hosp,2,2025-02-01,01,quantile,0.01,137.09922943115234
2025-01-18,wk inc flu hosp,3,2025-02-08,01,quantile,0.01,96.09998809814455
2025-01-18,wk inc flu hosp,-1,2025-01-11,02,quantile,0.01,6.5486106157302855
2025-01-18,wk inc flu hosp,0,2025-01-18,02,quantile,0.01,7.6202956068515775
2025-01-18,wk inc flu hosp,1,2025-01-25,02,quantile,0.01,8.053703134059905
2025-01-18,wk inc flu hosp,2,2025-02-01,02,quantile,0.01,7.529675495624543
2025-01-18,wk inc flu hosp,3,2025-02-08,02,quantile,0.01,8.595844593048097
2025-01-18,wk inc flu hosp,-1,2025-01-11,04,quantile,0.01,1289.9575189208983
2025-01-18,wk inc flu hosp,0,2025-01-18,04,quantile,0.01,856.5769573974609
2025-01-18,wk inc flu hosp,1,2025-01-25,04,quantile,0.01,1006.7164007568359
2025-01-18,wk inc flu hosp,2,2025-02-01,04,quantile,0.01,553.3027862548828
2025-01-18,wk inc flu hosp,3,2025-02-08,04,quantile,0.01,382.03092590332034
2025-01-18,wk inc flu hosp,-1,2025-01-11,05,quantile,0.01,159.3511836242676
2025-01-18,wk inc flu hosp,0,2025-01-18,05,quantile,0.01,107.33344627380372
2025-01-18,wk inc flu hosp,1,2025-01-25,05,quantile,0.01,117.64036285400393
2025-01-18,wk inc flu hosp,2,2025-02-01,05,quantile,0.01,86.85802192687989
2025-01-18,wk inc flu hosp,3,2025-02-08,05,quantile,0.01,69.43472236633299
2025-01-18,wk inc flu hosp,-1,2025-01-11,06,quantile,0.01,875.9090460205078
2025-01-18,wk inc flu hosp,0,2025-01-18,06,quantile,0.01,1016.1787292480467
2025-01-18,wk inc flu hosp,1,2025-01-25,06,quantile,0.01,1037.0742248535157
