horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
0,01,quantile,0.01,2026-05-02,wk inc flu hosp,2026-05-02,7.0
0,01,quantile,0.025,2026-05-02,wk inc flu hosp,2026-05-02,9.0
0,01,quantile,0.05,2026-05-02,wk inc flu hosp,2026-05-02,10.0
0,01,quantile,0.1,2026-05-02,wk inc flu hosp,2026-05-02,12.0
0,01,quantile,0.15,2026-05-02,wk inc flu hosp,2026-05-02,13.0
0,01,quantile,0.2,2026-05-02,wk inc flu hosp,2026-05-02,14.0
0,01,quantile,0.25,2026-05-02,wk inc flu hosp,2026-05-02,15.0
0,01,quantile,0.3,2026-05-02,wk inc flu hosp,2026-05-02,17.0
0,01,quantile,0.35,2026-05-02,wk inc flu hosp,2026-05-02,19.0
0,01,quantile,0.4,2026-05-02,wk inc flu hosp,2026-05-02,21.0
0,01,quantile,0.45,2026-05-02,wk inc flu hosp,2026-05-02,24.0
0,01,quantile,0.5,2026-05-02,wk inc flu hosp,2026-05-02,26.0
0,01,quantile,0.55,2026-05-02,wk inc flu hosp,2026-05-02,28.0
0,01,quantile,0.6,2026-05-02,wk inc flu hosp,2026-05-02,30.0
0,01,quantile,0.65,2026-05-02,wk inc flu hosp,2026-05-02,33.0
0,01,quantile,0.7,2026-05-02,wk inc flu hosp,2026-05-02,35.0
0,01,quantile,0.75,2026-05-02,wk inc flu hosp,2026-05-02,38.0
0,01,quantile,0.8,2026-05-02,wk inc flu hosp,2026-05-02,41.0
0,01,quantile,0.85,2026-05-02,wk inc flu hosp,2026-05-02,45.0
0,01,quantile,0.9,2026-05-02,wk inc flu hosp,2026-05-02,50.0
0,01,quantile,0.95,2026-05-02,wk inc flu hosp,2026-05-02,59.0
0,01,quantile,0.975,2026-05-02,wk inc flu hosp,2026-05-02,67.0
0,01,quantile,0.99,2026-05-02,wk inc flu hosp,2026-05-02,77.0
1,01,quantile,0.01,2026-05-02,wk inc flu hosp,2026-05-09,8.0
1,01,quantile,0.025,2026-05-02,wk inc flu hosp,2026-05-09,10.0
1,01,quantile,0.05,2026-05-02,wk inc flu hosp,2026-05-09,12.0
1,01,quantile,0.1,2026-05-02,wk inc flu hosp,2026-05-09,13.0
1,01,quantile,0.15,2026-05-02,wk inc flu hosp,2026-05-09,14.0
1,01,quantile,0.2,2026-05-02,wk inc flu hosp,2026-05-09,15.0
1,01,quantile,0.25,2026-05-02,wk inc flu hosp,2026-05-09,16.0
1,01,quantile,0.3,2026-05-02,wk inc flu hosp,2026-05-09,18.0
1,01,quantile,0.35,2026-05-02,wk inc flu hosp,2026-05-09,20.0
1,01,quantile,0.4,2026-05-02,wk inc flu hosp,2026-05-09,23.0
