location,horizon,output_type_id,value,reference_date,target,target_end_date,output_type
01,-1,0.01,18.64,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.025,19.619999999999997,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.05,20.285,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.1,20.89,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.15,21.195,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.2,21.48,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.25,21.83,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.3,22.060000000000002,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.35,22.305,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.4,22.545,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.45,22.744999999999997,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.5,23.105,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.55,23.47,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.6,23.73,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.65,23.92,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.7,24.2,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.75,24.525,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.8,24.78,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.85,25.130000000000003,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.9,25.8,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.95,26.495,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.975,26.95,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,-1,0.99,27.285,2024-04-20,wk inc flu hosp,2024-04-13,quantile
01,0,0.01,8.525,2024-04-20,wk inc flu hosp,2024-04-20,quantile
01,0,0.025,9.515,2024-04-20,wk inc flu hosp,2024-04-20,quantile
01,0,0.05,11.275,2024-04-20,wk inc flu hosp,2024-04-20,quantile
01,0,0.1,13.645,2024-04-20,wk inc flu hosp,2024-04-20,quantile
