"reference_date","target_end_date","horizon","location","target","output_type","output_type_id","value"
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.01",152
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.025",155
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.05",161
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.1",172
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.15",184
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.2",197
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.25",211
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.3",226
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.35",242
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.4",257
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.45",274
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.5",290
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.55",306
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.6",323
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.65",339
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.7",354
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.75",369
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.8",383
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.85",396
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.9",408
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.95",419
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.975",425
"2025-03-15","2025-03-08",-1,"01","wk inc flu hosp","quantile","0.99",428
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.01",162
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.025",165
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.05",171
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.1",182
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.15",195
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.2",209
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.25",223
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.3",239
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.35",255
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.4",272
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.45",289
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.5",306
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.55",324
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.6",341
"2025-03-15","2025-03-15",0,"01","wk inc flu hosp","quantile","0.65",358
