reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.01,4
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.025,6
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.05,7
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.1,8
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.15,10
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.2,11
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.25,11
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.3,12
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.35,13
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.4,14
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.45,14.549999999999955
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.5,15
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.55,16
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.6,17
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.65,18
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.7,19
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.75,20
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.8,21
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.85,23
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.9,25
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.95,28
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.975,32
2023-10-28,wk inc flu hosp,-1,2023-10-21,02,quantile,0.99,36
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.01,6
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.025,7
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.05,9
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.1,10
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.15,12
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.2,13
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.25,14
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.3,15
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.35,16
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.4,17
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.45,18
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.5,19
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.55,20
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.6,21
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.65,22
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.7,23
2023-10-28,wk inc flu hosp,0,2023-10-28,02,quantile,0.75,25
