location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,0.7434724573835392,1.4770916653318749,2.576176852331396,2490,4947,8628,0.74,1.48,2.58,2490,4947,8628,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
US,1,0.3562098962484186,1.0674353554803826,2.414344694941083,1193,3575,8086,0.36,1.07,2.41,1193,3575,8086,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
US,2,0.21826440415556914,0.850663867905905,2.4477860263575315,731,2849,8198,0.22,0.85,2.45,731,2849,8198,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Alabama,0,0.430657488703071,1.252821785318025,2.5839449322184262,22,64,132,0.43,1.25,2.58,22,64,132,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Alabama,1,0.19575340395594137,0.9591916793841128,3.0341777613170917,10,49,155,0.2,0.96,3.03,10,49,155,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Alabama,2,0.137027382769159,0.7438629350325773,2.8971503785479324,7,38,148,0.14,0.74,2.9,7,38,148,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Alaska,0,0.13635012530576515,1.2271511277518863,3.136052882032599,1,9,23,0.14,1.23,3.14,1,9,23,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Alaska,1,0,1.0908010024461212,3.817803508561424,0,8,28,0,1.09,3.82,0,8,28,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Alaska,2,0.13635012530576515,0.954450877140356,3.954153633867189,1,7,29,0.14,0.95,3.95,1,7,29,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Arizona,0,0.3498694179680015,1.2783690271907746,3.4852376636043227,26,95,259,0.35,1.28,3.49,26,95,259,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Arizona,1,0.2825868375895397,1.0899778021310815,3.5525202439827845,21,81,264,0.28,1.09,3.55,21,81,264,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Arizona,2,0.148021676832616,0.8208474806172342,3.915846178026478,11,61,291,0.15,0.82,3.92,11,61,291,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Arkansas,0,0.586752688957184,1.5646738372191573,3.3249319040907097,18,48,102,0.59,1.56,3.32,18,48,102,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Arkansas,1,0.32597371608732445,1.1409080063056356,3.5531135053518366,10,35,109,0.33,1.14,3.55,10,35,109,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Arkansas,2,0.19558422965239466,0.880129033435776,3.6509056201780337,6,27,112,0.2,0.88,3.65,6,27,112,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
California,0,0.4465523884354942,0.8623080604271613,1.7194833347803513,174,336,670,0.45,0.86,1.72,174,336,670,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
California,1,0.21557701510679034,0.7699179110956796,1.8555021657405881,84,300,723,0.22,0.77,1.86,84,300,723,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
California,2,0.11035490059038075,0.5440753238409469,1.7759439815940345,43,212,692,0.11,0.54,1.78,43,212,692,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Colorado,0,0.4593703903457358,1.1399191167838627,2.3989342606943977,27,67,141,0.46,1.14,2.4,27,67,141,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Colorado,1,0.23819205425334447,0.8166584717257526,2.3478931062115382,14,48,138,0.24,0.82,2.35,14,48,138,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Colorado,2,0.15312346344857858,0.6465212901162207,2.3649068243724916,9,38,139,0.15,0.65,2.36,9,38,139,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Connecticut,0,0.4146881434577693,1.1887726779122718,2.819879375512831,15,43,102,0.41,1.19,2.82,15,43,102,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Connecticut,1,0.24881288607466157,0.9123139156070924,2.819879375512831,9,33,102,0.25,0.91,2.82,9,33,102,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Connecticut,2,0.08293762869155386,0.580563400840877,2.681649994360241,3,21,97,0.08,0.58,2.68,3,21,97,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Delaware,0,0.19381910862591942,1.1629146517555164,2.9072866293887913,2,12,30,0.19,1.16,2.91,2,12,30,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Delaware,1,0.09690955431295971,0.9690955431295971,3.0041961837017515,1,10,31,0.1,0.97,3,1,10,31,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Delaware,2,0,0.7752764345036777,3.0041961837017515,0,8,31,0,0.78,3,0,8,31,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
District of Columbia,0,1.6200962631743283,4.123881397171017,8.54232575128282,11,28,58,1.62,4.12,8.54,11,28,58,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
District of Columbia,1,0.8836888708223609,3.38747400481905,9.27873314363479,6,23,63,0.88,3.39,9.28,6,23,63,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
District of Columbia,2,0.29456295694078694,2.798348090937476,8.689607229753216,2,19,59,0.29,2.8,8.69,2,19,59,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Florida,0,1.048175100613753,1.9680924884941773,3.1489479815906836,237,445,712,1.05,1.97,3.15,237,445,712,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Florida,1,0.6280205244183668,1.720422422526371,3.1489479815906836,142,389,712,0.63,1.72,3.15,142,389,712,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Florida,2,0.45553601419078715,1.424102879314888,3.193174779084935,103,322,722,0.46,1.42,3.19,103,322,722,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Georgia,0,0.3354722864984101,0.8432141255230308,1.9312323520043608,37,93,213,0.34,0.84,1.93,37,93,213,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Georgia,1,0.1632027339721995,0.6981450286588534,1.9674996262204052,18,77,217,0.16,0.7,1.97,18,77,217,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Georgia,2,0.09066818554011084,0.5893432060107204,2.0491009932065047,10,65,226,0.09,0.59,2.05,10,65,226,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Hawaii,0,1.0451956536583937,2.1600710175606803,3.762704353170218,15,31,54,1.05,2.16,3.76,15,31,54,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Hawaii,1,0.6271173921950364,1.811672466341216,3.8323840634141106,9,26,55,0.63,1.81,3.83,9,26,55,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Hawaii,2,0.4180782614633575,1.602633335609537,3.623344932682432,6,23,52,0.42,1.6,3.62,6,23,52,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Idaho,0,0.05089768242492847,0.5598745066742131,2.0868049794220673,1,11,41,0.05,0.56,2.09,1,11,41,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Idaho,1,0,0.5089768242492847,2.1377026618469954,0,10,42,0,0.51,2.14,0,10,42,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Idaho,2,0,0.4580791418243562,2.7993725333710655,0,9,55,0,0.46,2.8,0,9,55,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Illinois,0,0.5976243714087257,1.298836967194964,2.661420534006859,75,163,334,0.6,1.3,2.66,75,163,334,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Illinois,1,0.27889137332407204,0.9641673192060776,2.7092304837195567,35,121,340,0.28,0.96,2.71,35,121,340,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Illinois,2,0.19920812380290856,0.7490225454989362,2.812818708097069,25,94,353,0.2,0.75,2.81,25,94,353,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Indiana,0,0.4080324688922603,1.3261055238998463,3.147679045740294,28,91,216,0.41,1.33,3.15,28,91,216,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Indiana,1,0.174871058096683,0.9035004668328621,3.191396810264465,12,62,219,0.17,0.9,3.19,12,62,219,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Indiana,2,0.13115329357251224,0.6849116442120085,3.4099856328853186,9,47,234,0.13,0.68,3.41,9,47,234,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Iowa,0,0.280635758483619,0.9666342792213544,2.1203590640984546,9,31,68,0.28,0.97,2.12,9,31,68,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Iowa,1,0.12472700377049732,0.6548167697951109,2.4009948225820734,4,21,77,0.12,0.65,2.4,4,21,77,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Iowa,2,0.03118175094262433,0.4989080150819893,2.650448830123068,1,16,85,0.03,0.5,2.65,1,16,85,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Kansas,0,0.34007289802642093,1.088233273684547,2.4825321555928728,10,32,73,0.34,1.09,2.48,10,32,73,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Kansas,1,0.13602915921056838,0.748160375658126,2.3805102861849465,4,22,70,0.14,0.75,2.38,4,22,70,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Kansas,2,0.034007289802642095,0.6121312164475576,2.516539445395515,1,18,74,0.03,0.61,2.52,1,18,74,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Kentucky,0,1.2372535269458353,2.562882305816373,5.523453245293907,56,116,250,1.24,2.56,5.52,56,116,250,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Kentucky,1,0.37559482067998573,1.8116926644564015,5.125764611632746,17,82,232,0.38,1.81,5.13,17,82,232,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Kentucky,2,0.28721956875528315,1.546566908682294,5.192046050576273,13,70,235,0.29,1.55,5.19,13,70,235,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Louisiana,0,0.9838755908992819,2.3613014181582765,4.525827718136697,45,108,207,0.98,2.36,4.53,45,108,207,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Louisiana,1,0.6340531585795373,1.8584316716986438,4.176005285816952,29,85,191,0.63,1.86,4.18,29,85,191,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Louisiana,2,0.3060946282797766,1.486745337358915,4.460236012076745,14,68,204,0.31,1.49,4.46,14,68,204,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Maine,0,0.9314175745599769,2.8659002294153133,5.516857941624479,13,40,77,0.93,2.87,5.52,13,40,77,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Maine,1,0.5731800458830626,2.221072677796868,5.660152953095245,8,31,79,0.57,2.22,5.66,8,31,79,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Maine,2,0.21494251720614851,1.8628351491199537,6.018390481772157,3,26,84,0.21,1.86,6.02,3,26,84,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Maryland,0,0.6148615598746524,1.537153899686631,2.8639604236266702,38,95,177,0.61,1.54,2.86,38,95,177,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Maryland,1,0.24270851047683645,1.0193757440027131,2.7345158847056905,15,63,169,0.24,1.02,2.73,15,63,169,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Maryland,2,0.1618056736512243,0.8575700703514888,2.4918073742288547,10,53,154,0.16,0.86,2.49,10,53,154,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Massachusetts,0,0.5141829511501915,1.3711545364005109,3.085097706901149,36,96,216,0.51,1.37,3.09,36,96,216,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Massachusetts,1,0.28565719508343973,1.1140630608254152,3.1707948654261813,20,78,222,0.29,1.11,3.17,20,78,222,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Massachusetts,2,0.17139431705006386,0.7712744267252872,2.842289091080225,12,54,199,0.17,0.77,2.84,12,54,199,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Michigan,0,0.7173271672421391,1.9228353233018451,3.8556335239264974,72,193,387,0.72,1.92,3.86,72,193,387,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Michigan,1,0.31881207432983955,1.3848399478702407,3.5965987135335027,32,139,361,0.32,1.38,3.6,32,139,361,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Michigan,2,0.17933179181053477,1.085953628186016,3.666338854793155,18,109,368,0.18,1.09,3.67,18,109,368,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Minnesota,0,0.24399106644138158,0.8888245991793186,1.8996447315793281,14,51,109,0.24,0.89,1.9,14,51,109,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Minnesota,1,0.10456759990344926,0.6796893993724201,2.248203397924159,6,39,129,0.1,0.68,2.25,6,39,129,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Minnesota,2,0.03485586663448308,0.5402659328344878,2.3701989311448495,2,31,136,0.03,0.54,2.37,2,31,136,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Mississippi,0,0.40820630746779424,1.2586361146923655,2.8574441522745593,12,37,84,0.41,1.26,2.86,12,37,84,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Mississippi,1,0.2721375383118628,1.0885501532474513,2.959495729141508,8,32,87,0.27,1.09,2.96,8,32,87,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Mississippi,2,0.10205157686694856,0.9524813840915198,3.027530113719474,3,28,89,0.1,0.95,3.03,3,28,89,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Missouri,0,0.5648663461668816,1.500930576957714,3.3730590385393784,35,93,209,0.56,1.5,3.37,35,93,209,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Missouri,1,0.2743636538524853,1.113593653871852,3.6151446154680422,17,69,224,0.27,1.11,3.62,17,69,224,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Missouri,2,0.19366846154293083,0.8392300000193669,3.2278076923821803,12,52,200,0.19,0.84,3.23,12,52,200,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Montana,0,0.2648277030963655,1.588966218578193,3.707587843349117,3,18,42,0.26,1.59,3.71,3,18,42,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Montana,1,0.08827590103212184,1.3241385154818275,4.060691447477605,1,15,46,0.09,1.32,4.06,1,15,46,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Montana,2,0,0.9710349113533403,4.237243249541848,0,11,48,0,0.97,4.24,0,11,48,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Nebraska,0,0.10109286441071201,0.6065571864642719,1.9713108560088841,2,12,39,0.1,0.61,1.97,2,12,39,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Nebraska,1,0,0.556010754258916,2.27458944924102,0,11,45,0,0.56,2.27,0,11,45,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Nebraska,2,0,0.40437145764284804,2.476775178062444,0,8,49,0,0.4,2.48,0,8,49,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
