location_name,abbreviation,horizon,reference_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,model_full_name,forecast_due_date,forecast_due_date_formatted
US,US,0,2026-04-18,2026-04-18,CEPH-Rtrend_fluH,558,1051,1473,2054,3695,558,1051,1473,2054,3695,CEPH Lab at Indiana University,Rtrend FluH,2026-04-15,"April 15, 2026"
US,US,1,2026-04-18,2026-04-25,CEPH-Rtrend_fluH,101,449,920,1839,6062,101,449,920,1839,6062,CEPH Lab at Indiana University,Rtrend FluH,2026-04-15,"April 15, 2026"
US,US,2,2026-04-18,2026-05-02,CEPH-Rtrend_fluH,10,156,481,1362,7668,10,156,481,1362,7668,CEPH Lab at Indiana University,Rtrend FluH,2026-04-15,"April 15, 2026"
US,US,0,2026-04-18,2026-04-18,CFA_Pyrenew-Pyrenew_HE_Flu,1459.975,2246,2722.5,3274.25,4634.424999999998,1460,2246,2722,3274,4634,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,Pyrenew_Hospital_Admissions_ED_Visits_Influenza,2026-04-15,"April 15, 2026"
US,US,1,2026-04-18,2026-04-25,CFA_Pyrenew-Pyrenew_HE_Flu,929,1595.5,2085.5,2701,4481.474999999998,929,1596,2086,2701,4481,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,Pyrenew_Hospital_Admissions_ED_Visits_Influenza,2026-04-15,"April 15, 2026"
US,US,0,2026-04-18,2026-04-18,CU-ensemble,116,451,1398,2065,3608,116,451,1398,2065,3608,Columbia University,Ensemble,2026-04-15,"April 15, 2026"
US,US,1,2026-04-18,2026-04-25,CU-ensemble,26,211,1046,1712,3346,26,211,1046,1712,3346,Columbia University,Ensemble,2026-04-15,"April 15, 2026"
US,US,2,2026-04-18,2026-05-02,CU-ensemble,9,213,712,1407,2751,9,213,712,1407,2751,Columbia University,Ensemble,2026-04-15,"April 15, 2026"
US,US,0,2026-04-18,2026-04-18,Cornell_JHU-hierarchSIR,1113,1421,1610,1808,2247,1113,1421,1610,1808,2247,Cornell_JHU,hierarchSIR,2026-04-15,"April 15, 2026"
US,US,1,2026-04-18,2026-04-25,Cornell_JHU-hierarchSIR,854,1127,1298,1512,1897,854,1127,1298,1512,1897,Cornell_JHU,hierarchSIR,2026-04-15,"April 15, 2026"
US,US,2,2026-04-18,2026-05-02,Cornell_JHU-hierarchSIR,658,910,1064,1218,1575,658,910,1064,1218,1575,Cornell_JHU,hierarchSIR,2026-04-15,"April 15, 2026"
US,US,0,2026-04-18,2026-04-18,DMAPRIME-DLM,1129,1366,1510,1668,2018,1129,1366,1510,1668,2018,"CPHMR, Clemson University",Dynamic Linear Regression,2026-04-15,"April 15, 2026"
US,US,1,2026-04-18,2026-04-25,DMAPRIME-DLM,911,1102,1218,1346,1629,911,1102,1218,1346,1629,"CPHMR, Clemson University",Dynamic Linear Regression,2026-04-15,"April 15, 2026"
US,US,2,2026-04-18,2026-05-02,DMAPRIME-DLM,719,870,962,1063,1285,719,870,962,1063,1285,"CPHMR, Clemson University",Dynamic Linear Regression,2026-04-15,"April 15, 2026"
US,US,0,2026-04-18,2026-04-18,Epistorm-Ensemble_Flu,616,1186,1473,1996,2939,616,1186,1473,1996,2939,Epistorm: Center for Advanced Epidemic Analytics and Predictive Modeling Technology,Epistorm Ensemble Flu Hospitalization Forecast,2026-04-15,"April 15, 2026"
