location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,0.024031861375657,0.0349,0.05386896396539541,0.024,0.0349,0.053900000000000003,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
US,1,0.02358128114249258,0.04076240209583036,0.07991044869658831,0.0236,0.0408,0.0799,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
US,2,0.01768956675866399,0.03804418220128205,0.09612425696672272,0.0177,0.038,0.0961,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Alabama,0,0.02367274833133517,0.03815156380610332,0.06343978186445698,0.0237,0.0382,0.0634,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Alabama,1,0.02199074615559354,0.04335291474120168,0.08519728928356582,0.022,0.0434,0.0852,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Alabama,2,0.01758897007216787,0.0374580377948934,0.09817412638287663,0.0176,0.0375,0.0982,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Alaska,0,0.02169441225153567,0.03237561118992868,0.05974275074237302,0.0217,0.0324,0.0597,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Alaska,1,0.0184090572475619,0.03676805399364886,0.0927,0.0184,0.0368,0.0927,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Alaska,2,0.01230640582789591,0.03544659728883893,0.09978131375750555,0.0123,0.0354,0.0998,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Arizona,0,0.0091046399121557,0.01473223587831397,0.02560965454020362,0.0091,0.0147,0.0256,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Arizona,1,0.00870952380947782,0.01687048377314629,0.0398,0.0087,0.0169,0.0398,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Arizona,2,0.0068170105067529,0.01729538907859611,0.04829421750059939,0.0068,0.0173,0.0483,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Arkansas,0,0.01262780874948935,0.01887538602238199,0.0375,0.0126,0.0189,0.0375,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Arkansas,1,0.01319640551424206,0.02332760772586174,0.05008850111410763,0.0132,0.0233,0.0501,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Arkansas,2,0.01092638150489475,0.02298503760342311,0.06182580758199038,0.0109,0.023,0.0618,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
California,0,0.00682422067253895,0.0117062430444444,0.02016971098578037,0.0068,0.0117,0.0202,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
California,1,0.00684830400258863,0.01318878223824025,0.02915711093710165,0.0068,0.0132,0.0292,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
California,2,0.00539188649669644,0.01239381795618873,0.03435709499044816,0.0054,0.0124,0.0344,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
