location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,0.02198510820891017,0.03125103986738667,0.04178536139958386,0.022,0.0313,0.0418,2026-02-21,2026-02-21,"February 21, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
US,1,0.01563109356460836,0.02851975056129172,0.04590159147678267,0.0156,0.0285,0.0459,2026-02-28,2026-02-21,"February 28, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
US,2,0.01173278860239421,0.0253156217337694,0.04483829442017,0.0117,0.0253,0.0448,2026-03-07,2026-02-21,"March 07, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
Alabama,0,0.04791352361578678,0.07705427182563561,0.11830761491687708,0.0479,0.0771,0.1183,2026-02-21,2026-02-21,"February 21, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
Alabama,1,0.03094619631363843,0.06864027671929278,0.12770466632390876,0.0309,0.0686,0.1277,2026-02-28,2026-02-21,"February 28, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
Alabama,2,0.02400104655184943,0.06386001733883094,0.12828163995584102,0.024,0.0639,0.1283,2026-03-07,2026-02-21,"March 07, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
Alaska,0,0.01211715198103532,0.02280055849299787,0.03939818037831626,0.0121,0.0228,0.0394,2026-02-21,2026-02-21,"February 21, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
Alaska,1,0.00659640369816172,0.020053302137514,0.0398324562657536,0.0066,0.0201,0.0398,2026-02-28,2026-02-21,"February 28, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
Alaska,2,0.0041090070125024,0.019340149165898098,0.04334950595129584,0.0041,0.0193,0.0433,2026-03-07,2026-02-21,"March 07, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
Arizona,0,0.02394629901467019,0.03709840922138715,0.05480855136240949,0.0239,0.0371,0.0548,2026-02-21,2026-02-21,"February 21, 2026","February 21, 2026",2026-02-18,"February 18, 2026",FluSight-ensemble
