location_name,abbreviation,horizon,reference_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,model_full_name,forecast_due_date,forecast_due_date_formatted
US,US,0,2026-04-11,2026-04-11,CFA_Pyrenew-Pyrenew_E_Flu,0.007092638754761884,0.007969965992168399,0.008474560986060321,0.009024433638941141,0.010306604716795854,0.0071,0.008,0.0085,0.009,0.0103,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,Pyrenew_ED_Visits_Flu,2026-04-08,"April 08, 2026"
US,US,1,2026-04-11,2026-04-18,CFA_Pyrenew-Pyrenew_E_Flu,0.0035740445891224108,0.00553803619801376,0.0069336227006819495,0.008799248284383214,0.014953422930780355,0.0036,0.0055,0.0069,0.0088,0.015,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,Pyrenew_ED_Visits_Flu,2026-04-08,"April 08, 2026"
US,US,0,2026-04-11,2026-04-11,CMU-TimeSeries,0.006413407657901064,0.008136498295861178,0.008996019109625863,0.01002258207603016,0.012652911853048485,0.0064,0.0081,0.009,0.01,0.0127,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data,2026-04-08,"April 08, 2026"
US,US,1,2026-04-11,2026-04-18,CMU-TimeSeries,0.00478186463915074,0.006651389415092319,0.007697452060153554,0.00901738575711946,0.012732799576468633,0.0048,0.0067,0.0077,0.009,0.0127,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data,2026-04-08,"April 08, 2026"
US,US,2,2026-04-11,2026-04-25,CMU-TimeSeries,0.0036716182973218947,0.005503147415947763,0.0066405358941105256,0.008158054758059247,0.013747559177803232,0.0037,0.0055,0.0066,0.0082,0.0137,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data,2026-04-08,"April 08, 2026"
US,US,0,2026-04-11,2026-04-11,CU-ensemble,0.0027,0.0063,0.0081,0.0102,0.0139,0.0027,0.0063,0.0081,0.0102,0.0139,Columbia University,Ensemble,2026-04-08,"April 08, 2026"
US,US,1,2026-04-11,2026-04-18,CU-ensemble,0.0018,0.0039,0.0064,0.0087,0.0135,0.0018,0.0039,0.0064,0.0087,0.0135,Columbia University,Ensemble,2026-04-08,"April 08, 2026"
US,US,2,2026-04-11,2026-04-25,CU-ensemble,0.0014,0.0026,0.0052,0.0078,0.0128,0.0014,0.0026,0.0052,0.0078,0.0128,Columbia University,Ensemble,2026-04-08,"April 08, 2026"
US,US,0,2026-04-11,2026-04-11,FluSight-baseline,0,0.0093,0.0106,0.0119,0.02663749999999998,0,0.0093,0.0106,0.0119,0.0266,FluSight-baseline,Baseline model using reported weekly admissions,2026-04-08,"April 08, 2026"
US,US,1,2026-04-11,2026-04-18,FluSight-baseline,0,0.007203964539645398,0.0106,0.01407721552215522,0.03287858068580681,0,0.0072,0.0106,0.0141,0.0329,FluSight-baseline,Baseline model using reported weekly admissions,2026-04-08,"April 08, 2026"
US,US,2,2026-04-11,2026-04-25,FluSight-baseline,0,0.005451721267212671,0.0106,0.01604742747427474,0.03598548862988628,0,0.0055,0.0106,0.016,0.036,FluSight-baseline,Baseline model using reported weekly admissions,2026-04-08,"April 08, 2026"
US,US,0,2026-04-11,2026-04-11,FluSight-ensemble,0.005280525494229735,0.007969965992168399,0.008474560986060321,0.0102,0.013725042599498746,0.0053,0.008,0.0085,0.0102,0.0137,FluSight-ensemble,Ensemble models using FluSight forecast submissions,2026-04-08,"April 08, 2026"
US,US,1,2026-04-11,2026-04-18,FluSight-ensemble,0.0019546282795415,0.00553803619801376,0.0069336227006819495,0.00901738575711946,0.01391621572724357,0.002,0.0055,0.0069,0.009,0.0139,FluSight-ensemble,Ensemble models using FluSight forecast submissions,2026-04-08,"April 08, 2026"
US,US,2,2026-04-11,2026-04-25,FluSight-ensemble,0.00129876275864765,0.004375371568087848,0.006338999985807208,0.008249704595270545,0.013416641145873466,0.0013,0.0044,0.0063,0.0082,0.0134,FluSight-ensemble,Ensemble models using FluSight forecast submissions,2026-04-08,"April 08, 2026"
